varID,var7_19a,var7_19,var7_20,var7_20a,var7_21,var7_22
3701010110,夏粮,,,,.,.
3701010111,夏粮,,,,.,.
3701010112,夏粮,2,,,.,.
3701010112,秋粮,2,,,.,.
3704020101,夏粮,1,8,天气冷,20,.
3704020101,秋粮,1,2,,10,.
3704020102,夏粮,1,6,,5,.
3704020102,秋粮,2,,,.,.
3704020103,夏粮,,,,.,.
3704020104,夏粮,1,3,,30,.
3704020104,秋粮,4,,,.,.
3704020105,夏粮,,,,.,.
3704020106,夏粮,,,,.,.
3704020107,夏粮,,,,.,.
3704020108,夏粮,,,,.,.
3704020109,夏粮,,,,.,.
3704020110,夏粮,,,,.,.
3704020111,夏粮,,,,.,.
3704020112,夏粮,1,8,气候,15,.
3704020112,秋粮,3,,,.,9999
3704020113,夏粮,,,,.,.
3704020201,夏粮,3,,,.,33
3704020201,秋粮,2,,,.,.
3704020202,夏粮,1,8,气候,20,.
3704020202,秋粮,1,3,,20,.
3704020203,夏粮,1,8,气候,20,.
3704020203,秋粮,1,8,气候,50,.
3704020204,夏粮,1,2,,20,.
3704020204,秋粮,1,3,,30,.
3704020205,夏粮,1,8,气候,20,.
3704020205,秋粮,1,3,,20,.
3704020206,夏粮,2,,,.,.
3704020206,秋粮,1,"2,3",,70,.
3704020207,夏粮,1,8,气候,20,.
3704020207,秋粮,1,3,,30,.
3704020208,夏粮,4,,,.,.
3704020208,秋粮,4,,,.,.
3704020209,夏粮,1,8,气候,20,.
3704020209,秋粮,1,8,气候,20,.
3704020210,夏粮,1,8,病,20,.
3704020210,秋粮,1,8,病,30,.
3704020211,夏粮,1,9999,,20,.
3704020211,秋粮,1,3,,30,.
3704020212,夏粮,,,,.,.
3704010201,夏粮,4,,,.,.
3704010201,秋粮,4,,,.,.
3704010202,夏粮,,,,.,.
3704010203,夏粮,,,,.,.
3704010204,夏粮,3,,,.,10
3704010204,秋粮,3,,,.,10
3704010205,夏粮,,,,.,.
3704010206,夏粮,,,,.,.
3704010207,夏粮,,,,.,.
3704010208,夏粮,,,,.,.
3704010209,夏粮,,,,.,.
3704010210,夏粮,,,,.,.
3704010211,夏粮,,,,.,.
3704010212,夏粮,,,,.,.
3704010101,夏粮,2,,,.,.
3704010101,秋粮,2,,,.,.
3704010102,夏粮,,,,.,.
3704010103,夏粮,,,,.,.
3704010104,夏粮,,,,.,.
3704010105,夏粮,,,,.,.
3704010106,夏粮,2,,,.,.
3704010106,秋粮,2,,,.,.
3704010107,夏粮,3,,,.,10
3704010107,秋粮,2,,,.,.
3704010108,夏粮,3,,,.,10
3704010108,秋粮,3,,,.,10
3704010109,夏粮,,,,.,.
3704010110,夏粮,,,,.,.
3704010111,夏粮,,,,.,.
3704010112,夏粮,1,1,,40,.
3704010112,秋粮,2,,,.,.
3704030201,夏粮,1,1,,50,.
3704030201,秋粮,3,,,.,20
3704030202,夏粮,,,,.,.
3704030203,夏粮,,,,.,.
3704030204,夏粮,1,1,,100,.
3704030204,秋粮,3,,,.,30
3704030205,夏粮,1,1,,40,.
3704030206,夏粮,,,,.,.
3704030207,夏粮,,,,.,.
3704030208,夏粮,,,,.,.
3704030209,夏粮,1,1,,33,.
3704030209,秋粮,4,,,.,.
3704030210,夏粮,2,,,.,.
3704030210,秋粮,2,,,.,.
3704030211,夏粮,3,,,.,10
3704030211,秋粮,3,,,.,10
3704030212,夏粮,,,,.,.
3704030101,夏粮,2,,,.,.
3704030101,秋粮,3,,,.,30
3704030102,夏粮,,,,.,.
3704030103,夏粮,1,1,,50,.
3704030103,秋粮,3,,,.,20
3704030104,夏粮,1,1,,10,.
3704030104,秋粮,3,,,.,10
3704030105,夏粮,3,,,.,10
3704030105,秋粮,3,,,.,10
3704030106,夏粮,2,,,.,.
3704030106,秋粮,3,,,.,20
3704030107,夏粮,1,1,,20,.
3704030107,秋粮,2,,,.,.
3704030108,夏粮,3,,,.,15
3704030108,秋粮,4,,,.,.
3704030109,夏粮,2,,,.,.
3704030109,秋粮,2,,,.,.
3704030110,夏粮,1,1,,60,.
3704030110,秋粮,1,3,,9999,.
3704030111,夏粮,2,,,.,.
3704030111,秋粮,2,,,.,.
3704030112,夏粮,1,2,,80,.
3704030112,秋粮,4,,,.,.
3702030201,夏粮,2,,,.,.
3702030201,秋粮,2,,,.,.
3702030202,夏粮,2,,,.,.
3702030202,秋粮,2,,,.,.
3702030203,夏粮,,,,.,.
3702030204,夏粮,3,,,.,10
3702030204,秋粮,3,,,.,10
3702030205,夏粮,3,,,.,8
3702030205,秋粮,3,,,.,8
3702030206,夏粮,2,,,.,.
3702030206,秋粮,2,,,.,.
3702030207,夏粮,1,1,,20,.
3702030207,秋粮,4,,,.,.
3702030208,夏粮,2,,,.,.
3702030208,秋粮,2,,,.,.
3702030209,夏粮,2,,,.,.
3702030209,秋粮,3,,,.,10
3702030210,夏粮,2,,,.,.
3702030210,秋粮,2,,,.,.
3702030211,夏粮,2,,,.,.
3702030211,秋粮,3,,,.,9999
3702030212,夏粮,,,,.,.
3705030201,夏粮,2,,,.,.
3705030201,秋粮,2,,,.,.
3705030202,夏粮,,,,.,.
3705030203,夏粮,2,,,.,.
3705030204,夏粮,,,,.,.
3705030204,秋粮,1,2,,20,.
3705030205,夏粮,,,,.,.
3705030206,夏粮,,,,.,.
3705030207,夏粮,,,,.,.
3705030208,夏粮,,,,.,.
3705030209,夏粮,3,,,.,50
3705030209,秋粮,3,,,.,50
3705030210,夏粮,2,,,.,.
3705030210,秋粮,2,,,.,.
3705030211,夏粮,,,,.,.
3705030211,秋粮,3,,,.,20
3705030212,夏粮,2,,,.,.
3705030212,秋粮,3,,,.,30
3702030101,夏粮,1,1,,15,.
3702030101,秋粮,1,1,,10,.
3702030102,夏粮,1,1,,10,.
3702030102,秋粮,3,,,.,15
3702030103,夏粮,2,,,.,.
3702030103,秋粮,1,1,,20,.
3702030104,夏粮,2,,,.,.
3702030104,秋粮,3,,,.,36
3702030105,夏粮,2,,,.,.
3702030105,秋粮,2,,,.,.
3702030106,夏粮,1,,,1,.
3702030106,秋粮,4,,,.,.
3702030107,夏粮,2,,,.,.
3702030107,秋粮,2,,,.,.
3702030108,夏粮,1,1,,20,.
3702030108,秋粮,1,2,,9999,.
3702030109,夏粮,,,,.,.
3702030110,夏粮,2,,,.,.
3702030110,秋粮,2,,,.,.
3702030111,夏粮,,,,.,.
3702030112,夏粮,1,1,,10,.
3702030112,秋粮,2,,,.,.
3702030113,夏粮,,,,.,.
3705030101,夏粮,3,,,.,5
3705030101,秋粮,2,,,.,.
3705030102,夏粮,2,,,.,.
3705030102,秋粮,1,3,,50,.
3705030103,夏粮,2,,,.,.
3705030103,秋粮,2,,,.,.
3705030104,夏粮,3,,,.,10
3705030104,秋粮,3,,,.,10
3705030105,夏粮,1,1,,10,.
3705030105,秋粮,2,,,.,.
3705030106,夏粮,2,,,.,.
3705030106,秋粮,2,,,.,.
3705030107,夏粮,3,,,.,20
3705030107,秋粮,3,,,.,20
3705030108,夏粮,,,,.,.
3705030109,夏粮,2,,,.,.
3705030109,秋粮,4,,,.,.
3705030110,夏粮,2,,,.,.
3705030110,秋粮,2,,,.,.
3705030111,夏粮,,,,.,.
3705030112,夏粮,3,,,.,10
3705030112,秋粮,4,,,.,.
3702010101,夏粮,1,6,,10,.
3702010101,秋粮,2,,,.,.
3702010102,夏粮,1,8,水质,20,.
3702010102,秋粮,1,8,水质,20,.
3702010103,夏粮,3,,,.,7
3702010103,秋粮,3,,,.,8
3702010104,夏粮,3,,,.,2
3702010104,秋粮,4,,,.,.
3702010105,夏粮,2,,,.,.
3702010105,秋粮,2,,,.,.
3702010106,夏粮,2,,,.,.
3702010106,秋粮,2,,,.,.
3702010107,夏粮,3,,,.,40
3702010107,秋粮,4,,,.,.
3702010108,夏粮,1,1,,9999,.
3702010108,秋粮,2,,,.,.
3702010109,夏粮,2,,,.,.
3702010109,秋粮,4,,,.,.
3702010110,夏粮,1,8,病,20,.
3702010110,秋粮,1,8,病,20,.
3702010111,夏粮,,,,.,.
3702010112,夏粮,2,,,.,.
3702010112,秋粮,2,,,.,.
3702010113,夏粮,2,,,.,.
3702010113,秋粮,2,,,.,.
3705020201,夏粮,4,,,.,.
3705020201,秋粮,3,,,.,9999
3705020202,夏粮,,,,.,.
3705020203,夏粮,,,,.,.
3705020204,夏粮,4,,,.,.
3705020204,秋粮,4,,,.,.
3705020205,夏粮,,,,.,.
3705020206,夏粮,3,,,.,33
3705020207,夏粮,,,,.,.
3705020208,夏粮,,,,.,.
3705020209,夏粮,,,,.,.
3705020210,夏粮,,,,.,.
3705020211,夏粮,,,,.,.
3705020212,夏粮,,,,.,.
3702010201,夏粮,,,,.,.
3702010202,夏粮,2,,,.,.
3702010202,秋粮,2,,,.,.
3702010203,夏粮,,,,.,.
3702010203,秋粮,2,,,.,.
3702010204,夏粮,1,1,,6,.
3702010204,秋粮,2,,,.,.
3702010205,夏粮,1,1,,40,.
3702010205,秋粮,1,1,,40,.
3702010206,夏粮,,,,.,.
3702010207,夏粮,2,,,.,.
3702010207,秋粮,2,,,.,.
3702010208,夏粮,2,,,.,.
3702010208,秋粮,2,,,.,.
3702010209,夏粮,2,,,.,.
3702010209,秋粮,2,,,.,.
3702010210,夏粮,2,,,.,.
3702010210,秋粮,2,,,.,.
3702010211,夏粮,2,,,.,.
3702010211,秋粮,2,,,.,.
3702010212,夏粮,2,,,.,.
3702010212,秋粮,2,,,.,.
3705020101,夏粮,2,,,.,.
3705020101,秋粮,2,,,.,.
3705020102,夏粮,,,,.,.
3705020103,夏粮,,,,.,.
3705020104,夏粮,,,,.,.
3705020105,夏粮,,,,.,.
3705020105,秋粮,3,,,.,20
3705020106,夏粮,,,,.,.
3705020107,夏粮,,,,.,.
3705020108,夏粮,2,,,.,.
3705020108,秋粮,2,,,.,.
3705020109,夏粮,2,,,.,.
3705020109,秋粮,2,,,.,.
3705020110,夏粮,,,,.,.
3705020111,夏粮,,,,.,.
3705020112,夏粮,,,,.,.
3702020101,夏粮,2,,,.,.
3702020101,秋粮,2,,,.,.
3702020102,夏粮,,,,.,.
3702020103,夏粮,,,,.,.
3702020104,夏粮,3,,,.,15
3702020104,秋粮,2,,,.,.
3702020105,夏粮,,,,.,.
3702020106,夏粮,2,,,.,.
3702020106,秋粮,2,,,.,.
3702020107,夏粮,2,,,.,.
3702020107,秋粮,2,,,.,.
3702020108,夏粮,4,,,.,.
3702020108,秋粮,4,,,.,.
3702020109,夏粮,,,,.,.
3702020110,夏粮,,,,.,.
3702020111,夏粮,2,,,.,.
3702020111,秋粮,2,,,.,.
3702020112,夏粮,2,,,.,.
3702020112,秋粮,2,,,.,.
3702020113,夏粮,1,6,,15,.
3702020113,秋粮,1,2,,20,.
3705010201,夏粮,3,,,.,20
3705010201,秋粮,4,,,.,.
3705010202,夏粮,,,,.,.
3705010203,夏粮,,,,.,.
3705010204,夏粮,,,,.,.
3705010205,夏粮,,,,.,.
3705010206,夏粮,,,,.,.
3705010207,夏粮,,,,.,.
3705010208,夏粮,,,,.,.
3705010209,夏粮,,,,.,.
3705010210,夏粮,,,,.,.
3705010211,夏粮,,,,.,.
3705010212,夏粮,,,,.,.
3705010101,夏粮,,,,.,.
3705010102,夏粮,1,1,,70,.
3705010102,秋粮,2,,,.,.
3705010103,夏粮,3,,,.,50
3705010103,秋粮,4,,,.,.
3705010104,夏粮,4,,,.,.
3705010104,秋粮,4,,,.,.
3705010105,夏粮,,,,.,.
3705010106,夏粮,1,1,,90,.
3705010106,秋粮,1,2,,50,.
3705010107,夏粮,1,1,,37.5,.
3705010107,秋粮,3,,,.,10
3705010108,夏粮,,,,.,.
3705010109,夏粮,,,,.,.
3705010110,夏粮,4,,,.,.
3705010110,秋粮,4,,,.,.
3705010111,夏粮,,,,.,.
3705010112,夏粮,,,,.,.
3705010112,秋粮,3,,,.,100
3702020201,夏粮,2,,,.,.
3702020201,秋粮,4,,,.,.
3702020202,夏粮,,,,.,.
3702020203,夏粮,,,,.,.
3702020204,夏粮,2,,,.,.
3702020204,秋粮,1,8,未浇地,20,.
3702020205,夏粮,1,1,,10,.
3702020205,秋粮,1,1,,10,.
3702020206,夏粮,,,,.,.
3702020207,夏粮,1,1,,50,.
3702020207,秋粮,2,,,.,.
3702020208,夏粮,,,,.,.
3702020209,夏粮,2,,,.,.
3702020209,秋粮,4,,,.,.
3702020210,夏粮,2,,,.,.
3702020210,秋粮,2,,,.,.
3702020211,夏粮,,,,.,.
3702020212,夏粮,2,,,.,.
3702020212,秋粮,1,2,,10,.
3706010101,夏粮,2,,,.,.
3706010102,夏粮,,,,.,.
3706010103,夏粮,2,,,.,.
3706010104,夏粮,2,,,.,.
3706010105,夏粮,1,1,,40,.
3706010105,秋粮,4,,,.,.
3706010106,夏粮,,,,.,.
3706010107,夏粮,,,,.,.
3706010108,夏粮,1,1,,30,.
3706010108,秋粮,2,,,.,.
3706010109,夏粮,1,1,,20,.
3706010109,秋粮,4,,,.,.
3706010110,夏粮,,,,.,.
3706010111,夏粮,,,,.,.
3706010112,夏粮,2,,,.,.
3701020101,夏粮,2,,,.,.
3701020101,秋粮,3,,,.,9999
3701020102,夏粮,1,2,,10,.
3701020102,秋粮,1,2,,10,.
3701020103,夏粮,2,,,.,.
3701020103,秋粮,2,,,.,.
3701020104,夏粮,1,2,,10,.
3701020104,秋粮,1,8,授粉不及时,10,.
3701020105,夏粮,1,8,天气异常,10,.
3701020105,秋粮,4,,,.,.
3701020106,夏粮,2,,,.,.
3701020106,秋粮,1,2,,.5,.
3701020107,夏粮,1,1,,25,.
3701020107,秋粮,1,1,,25,.
3701020108,夏粮,3,,,.,2
3701020108,秋粮,4,,,.,.
3701020109,夏粮,1,3,,.2,.
3701020109,秋粮,3,,,.,.1
3701020110,夏粮,1,"1,2",,5,.
3701020110,秋粮,1,"1,2",,5,.
3701020111,夏粮,2,,,.,.
3701020112,夏粮,2,,,.,.
3701020112,秋粮,2,,,.,.
4402020201,夏粮,,,,.,.
4402020202,夏粮,,,,.,.
4402020203,夏粮,,,,.,.
4402020204,夏粮,,,,.,.
4402020205,夏粮,,,,.,.
4402020206,夏粮,,,,.,.
4402020207,夏粮,,,,.,.
4402020208,夏粮,,,,.,.
4402020209,夏粮,,,,.,.
4402020210,夏粮,,,,.,.
4402020211,夏粮,,,,.,.
4402020212,夏粮,,,,.,.
4402020213,夏粮,,,,.,.
4404020101,夏粮,1,1,,50,.
4404020102,夏粮,4,,,.,.
4404020102,秋粮,4,,,.,.
4404020103,夏粮,,,,.,.
4404020104,夏粮,,,,.,.
4404020105,夏粮,,,,.,.
4404020106,夏粮,4,,,.,.
4404020106,秋粮,4,,,.,.
4404020107,夏粮,2,,,.,.
4404020108,夏粮,2,,,.,.
4404020108,秋粮,2,,,.,.
4404020109,夏粮,,,,.,.
4404020110,夏粮,,,,.,.
4404020110,秋粮,2,,,.,.
4404020111,夏粮,2,,,.,.
4404020112,夏粮,,,,.,.
4404020112,秋粮,2,,,.,.
4404020201,夏粮,2,,,.,.
4404020201,秋粮,2,,,.,.
4404020202,夏粮,,,,.,.
4404020203,夏粮,,,,.,.
4404020204,夏粮,,,,.,.
4404020205,夏粮,2,,,.,.
4404020206,夏粮,3,,,.,2
4404020206,秋粮,3,,,.,2
4404020207,夏粮,2,,,.,.
4404020207,秋粮,2,,,.,.
4404020208,夏粮,,,,.,.
4404020209,夏粮,,,,.,.
4404020210,夏粮,2,,,.,.
4404020210,秋粮,2,,,.,.
4404020211,夏粮,2,,,.,.
4404020211,秋粮,2,,,.,.
4404020212,夏粮,3,,,.,.
4404020212,秋粮,2,,,.,.
4402020101,夏粮,,,,.,.
4402020102,夏粮,,,,.,.
4402020103,夏粮,,,,.,.
4402020104,夏粮,,,,.,.
4402020105,夏粮,,,,.,.
4402020106,夏粮,,,,.,.
4402020107,夏粮,,,,.,.
4402020108,夏粮,,,,.,.
4402020109,夏粮,,,,.,.
4402020110,夏粮,,,,.,.
4402020111,夏粮,,,,.,.
4402020112,夏粮,,,,.,.
4402010201,夏粮,,,,.,.
4402010202,夏粮,,,,.,.
4402010203,夏粮,,,,.,.
4402010204,夏粮,,,,.,.
4402010205,夏粮,,,,.,.
4402010206,夏粮,,,,.,.
4402010207,夏粮,,,,.,.
4402010208,夏粮,,,,.,.
4402010209,夏粮,,,,.,.
4402010210,夏粮,,,,.,.
4402010211,夏粮,,,,.,.
4402010212,夏粮,,,,.,.
4402030101,夏粮,,,,.,.
4402030102,夏粮,,,,.,.
4402030103,夏粮,,,,.,.
4402030104,夏粮,,,,.,.
4402030105,夏粮,,,,.,.
4402030106,夏粮,,,,.,.
4402030107,夏粮,,,,.,.
4402030108,夏粮,,,,.,.
4402030109,夏粮,,,,.,.
4402030110,夏粮,,,,.,.
4402030111,夏粮,,,,.,.
4402030201,夏粮,,,,.,.
4402030202,夏粮,,,,.,.
4402030203,夏粮,,,,.,.
4402030204,夏粮,,,,.,.
4402030205,夏粮,,,,.,.
4402030206,夏粮,,,,.,.
4402030207,夏粮,,,,.,.
4402030208,夏粮,,,,.,.
4402030209,夏粮,,,,.,.
4402030210,夏粮,,,,.,.
4402030211,夏粮,,,,.,.
4402030212,夏粮,,,,.,.
4402030213,夏粮,,,,.,.
4402010101,夏粮,,,,.,.
4402010102,夏粮,,,,.,.
4402010103,夏粮,,,,.,.
4402010104,夏粮,,,,.,.
4402010105,夏粮,,,,.,.
4402010106,夏粮,,,,.,.
4402010107,夏粮,,,,.,.
4402010108,夏粮,,,,.,.
4402010109,夏粮,,,,.,.
4402010110,夏粮,,,,.,.
4402010111,夏粮,,,,.,.
4404010101,夏粮,3,,,.,50
4404010101,秋粮,1,3,,50,.
4404010102,夏粮,,,,.,.
4404010103,夏粮,1,1,,20,.
4404010103,秋粮,1,1,,30,.
4404010104,夏粮,2,,,.,.
4404010104,秋粮,2,,,.,.
4404010105,夏粮,,,,.,.
4404010106,夏粮,,,,.,.
4404010106,秋粮,3,,,.,.
4404010107,夏粮,,,,.,.
4404010108,夏粮,,,,.,.
4404010108,秋粮,2,,,.,.
4404010109,夏粮,,,,.,.
4404010110,夏粮,2,,,.,.
4404010110,秋粮,2,,,.,.
4404010111,夏粮,2,,,.,.
4404010111,秋粮,2,,,.,.
4404010112,夏粮,2,,,.,.
4404010112,秋粮,1,,,.,.
4404010113,夏粮,3,,,.,.
4404010201,夏粮,,,,.,.
4404010202,夏粮,2,,,.,.
4404010202,秋粮,2,,,.,.
4404010203,夏粮,,,,.,.
4404010204,夏粮,1,1,,31,.
4404010205,夏粮,2,,,.,.
4404010206,夏粮,,,,.,.
4404010207,夏粮,,,,.,.
4404010207,秋粮,2,,,.,.
4404010208,夏粮,3,,,.,10
4404010208,秋粮,3,,,.,10
4404010209,夏粮,,,,.,.
4404010210,夏粮,,,,.,.
4404010211,夏粮,,,,.,.
4404010212,夏粮,,,,.,.
4404030101,夏粮,,,,.,.
4404030101,秋粮,1,1,,20,.
4404030102,夏粮,,,,.,.
4404030103,夏粮,,,,.,.
4404030104,夏粮,2,,,.,.
4404030104,秋粮,2,,,.,.
4404030105,夏粮,,,,.,.
4404030106,夏粮,,,,.,.
4404030107,夏粮,,,,.,.
4404030107,秋粮,2,,,.,.
4404030108,夏粮,,,,.,.
4404030109,夏粮,,,,.,.
4404030110,夏粮,,,,.,.
4404030111,夏粮,,,,.,.
4404030201,夏粮,,,,.,.
4404030202,夏粮,1,"1,4",,33,.
4404030202,秋粮,1,"1,4",,33,.
4404030203,夏粮,,,,.,.
4404030204,夏粮,,,,.,.
4404030205,夏粮,2,,,.,.
4404030205,秋粮,2,,,.,.
4404030206,夏粮,,,,.,.
4404030207,夏粮,,,,.,.
4404030208,夏粮,,,,.,.
4404030209,夏粮,,,,.,.
4404030210,夏粮,,,,.,.
4404030210,秋粮,1,6,,10,.
4404030211,夏粮,4,,,.,.
4404030212,夏粮,,,,.,.
4401010101,夏粮,,,,.,.
4401010102,夏粮,,,,.,.
4401010103,夏粮,,,,.,.
4401010104,夏粮,,,,.,.
4401010105,夏粮,,,,.,.
4401010106,夏粮,,,,.,.
4401010107,夏粮,,,,.,.
4401010108,夏粮,,,,.,.
4401010108,秋粮,2,,,.,.
4401010109,夏粮,,,,.,.
4401010110,夏粮,,,,.,.
4401010111,夏粮,,,,.,.
