varID,var3a_1,var3a_2,var3a_3,var3a_4,var3a_4a,var3a_5,var3a_5a,var3a_6,var3a_7,var3a_8,var3a_9,var3a_10,var3a_10a,var3a_11,var3a_12,var3a_13,var3a_14,var3a_15,var3a_16,var3a_17,var3a_18,var3a_19,var3a_19a,var3a_20,var3a_20a,var3a_21,var3a_21a,var3a_22,var3a_23
3703020203,b,2.11,2015,3,,2,,1,否,是,1,4,,是,否,.,是,现金,500,,.,一年一付,,2,,,,是,较好
3703020204,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703020205,a,.9,2005,4,,2,,1.5,否,是,1,4,,是,9999.0,9999,是,现金,1000,,.,其他,一次10年,2,,,,是,以前不认识
3703020205,b,1.1,2005,4,,2,,1.5,否,是,1,4,,是,9999.0,9999,是,现金,1000,,.,其他,一次10年,2,,,,是,以前不认识
3703020206,a,1.4,2008,4,,2,,3,是,是,1,4,,是,是,30,是,现金,1400,,.,一次付清,,2,,,,否,
3703020207,a,3,2008,4,,2,,2,否,是,1,4,,是,是,15,是,现金,1200,,.,一次付清,,2,,,,是,以前不认识
3703020208,a,1.3,1988,1,,5,,3,否,是,1,1,,否,否,.,否,,,,.,,,,,4,转给父母,是,较好
3703020209,a,2,9999,1,,2,,2,,是,1,4,,是,否,.,是,现金,1200,,.,一年一付,,2,,,,否,
3703020210,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703020211,a,1.1,2008,5,建厂,2,,2,否,是,1,4,,否,是,10,是,现金,1200,,.,一次付清,,,,,,否,
3703020211,b,.4,2008,5,建厂,2,,2,否,是,1,4,,否,是,10,是,现金,1200,,.,一次付清,,,,,,否,
3703020212,a,3,9999,4,,3,,2,否,是,1,4,,否,否,.,是,现金,1000,,.,一年一付,,1,,,,是,一般
3703030101,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030102,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030103,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030104,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030105,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030106,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030107,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030108,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030109,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030110,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030111,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030112,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030201,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030202,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030203,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030204,a,2.5,2015,1,,5,,0.8,否,是,1,1,,否,否,.,否,,,,.,,,,,1,,是,较好
3703030204,b,1.1,2015,1,,5,,3,否,是,1,1,,否,否,.,否,,,,.,,,,,1,,是,较好
3703030205,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030206,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030207,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030208,a,5,2018,1,,3,,0.4,,是,1,1,,是,否,.,是,现金,150,,.,一年一付,,2,,,,是,较好
3703030209,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030210,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703030211,a,1.1,2014,4,,6,矿业企业,1,否,否,1,4,,是,是,10,是,现金,600,,.,一次付清,,,,,,否,
3703030211,b,.7,2014,4,,6,矿业企业,1,否,否,1,4,,是,是,10,是,现金,600,,.,一次付清,,,,,,否,
3703030212,a,3,2010,4,,3,,1,否,否,1,6,,是,否,10,是,现金,500,,.,一年一付,,2,,,,是,较好
3703010101,a,.9,2017,1,,5,,2,否,是,1,2,,是,是,10,是,现金,1000,,.,一年一付,,2,,,,是,较好
3703010102,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010103,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010104,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010105,a,1.6,2013,4,,6,工厂,4,否,是,1,6,,9999.0,9999.0,9999,是,现金,9999,,.,9999.0,,9999,,,,9999.0,9999.0
3703010106,a,1.5,2020,4,,1,,2,否,否,2,4,,否,否,.,是,现金,1000,,.,一年一付,,2,,,,是,较好
3703010107,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010108,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010109,a,1,2012,4,,6,建厂,2,否,是,1,4,,是,否,.,是,现金,1200,,.,一年一付,,2,,,,否,
3703010110,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010111,a,2.6,2010,1,,5,,1,否,是,1,1,,否,否,.,否,,,,.,,,,,4,一起吃饭,是,较好
3703010112,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010201,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010202,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010203,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010204,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010205,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010206,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010207,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010208,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010209,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010210,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010211,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703010212,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030201,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030202,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030203,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030204,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030205,a,8,2010,3,,5,,2,是,是,1,1,,否,否,.,是,现金,9999,,.,一年一付,,2,,,,是,较好
3701030206,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030207,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030208,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030209,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030210,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030211,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030212,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030101,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030102,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030103,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030104,a,6,9999,2,,1,,0.6,是,是,1,4,,是,9999.0,9999,是,现金,1000,,.,一年一付,,2,,,,否,
3701030105,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030106,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030107,a,3.51,2011,4,,3,,1,否,否,1,6,,是,是,1,是,现金,1000,,.,一年一付,,2,,,,是,一般
3701030107,b,.8,2011,4,,3,,1,否,否,1,6,,是,是,1,是,现金,1000,,.,一年一付,,2,,,,是,一般
3701030108,a,5.85,2011,4,,3,,1,否,是,1,4,,是,是,10,是,现金,1000,,.,一年一付,,2,,,,是,较好
3701030108,b,2.7,2011,4,,3,,1,否,是,1,4,,是,是,10,是,现金,1000,,.,一年一付,,2,,,,是,较好
3701030109,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030110,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030111,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701030112,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701020201,a,2.4,2017,4,,3,,1,否,是,1,4,,是,否,.,是,现金,1100,,.,一年一付,,2,,,,否,
3701020201,b,2,2017,4,,3,,1,否,是,1,4,,是,否,.,是,现金,1100,,.,一年一付,,2,,,,否,
3701020202,a,3,2017,4,,2,,0.5,否,是,1,4,,是,否,.,是,现金,1100,,.,其他,一年两付,,,,,否,
3701020202,b,2,2017,4,,2,,0.5,否,是,1,4,,是,否,.,是,现金,1100,,.,其他,一年两付,,,,,否,
3701020203,a,3,2016,4,,4,,0.1,,是,1,4,,是,是,15,是,现金,1100,,.,一年一付,,2,,,,是,一般
3701020204,a,4.5,2016,4,,2,,0.2,否,是,1,4,,是,是,30,是,现金,1100,,.,一年一付,,2,,,,否,
3701020205,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3701020206,a,7.7,2017,4,,2,,0.7,否,是,1,4,,是,是,15,是,现金,1100,,.,一年一付,,2,,,,否,
3701020206,b,2.8,2017,4,,2,,1,否,是,1,4,,是,是,15,是,现金,1100,,.,一年一付,,2,,,,否,
3701020207,a,3,2017,4,,4,,1,否,是,1,4,,是,是,15,是,现金,1100,,.,一年一付,,2,,,,否,以前不认识
3701020208,a,1.5,2017,4,,2,,0.3,是,是,1,4,,是,是,15,是,现金,1100,,.,一年一付,,2,,,,否,
3701020209,a,7.5,2016,4,,3,,2,否,是,1,4,,是,是,30,是,现金,1100,,.,一年一付,,2,,,,否,以前不认识
3701020210,a,1.5,2017,4,,3,,0.9,是,是,1,4,,是,是,15,是,现金,1100,,.,一年一付,,2,,,,否,以前不认识
3701020210,b,1.5,2017,4,,3,,0.9,是,是,1,4,,是,是,15,是,现金,1100,,.,一年一付,,2,,,,否,以前不认识
3701020211,a,3,2018,3,,2,,0.5,否,是,1,4,,是,9999.0,9999,是,现金,1100,,.,一年一付,,2,,2,,否,
3701020211,b,3,2018,3,,2,,0.5,否,是,1,4,,是,9999.0,9999,是,现金,1100,,.,一年一付,,2,,2,,否,
3701020212,a,3,2017,4,,4,,0.5,否,是,1,4,,是,是,15,是,现金,1100,,.,一年一付,,2,,,,是,一般
3701020212,b,1.5,2017,4,,4,,0.5,否,是,1,4,,是,是,15,是,现金,1100,,.,一年一付,,2,,,,是,一般
3701010201,a,1.5,2018,4,,3,,0.4,否,是,1,4,,是,是,10,是,现金,650,,.,其他,一年付两次,,,,,否,
3701010202,a,2,2017,4,,3,,2.5,否,是,1,4,,是,是,10,是,现金,650,,.,其他,一年两付,,,,,否,
3701010202,b,1,2017,4,,3,,2.5,否,是,1,4,,是,是,10,是,现金,650,,.,其他,一年两付,,,,,否,
3701010203,a,.5,2017,4,,3,,0.1,是,是,1,4,,是,是,10,是,现金,700,,.,其他,半年一付,,,,,否,以前不认识
3701010204,a,3.6,2017,4,,3,,0.2,否,是,1,4,,是,是,10,是,现金,322,,.,其他,半年一次,,,,,是,一般
3701010205,a,9999,2017,1,,3,,9999,是,是,1,4,,是,是,10,是,现金,586,,.,一年一付,,2,,,,是,较好
3701010205,b,9999,2017,1,,3,,9999,是,是,1,4,,是,是,10,是,现金,586,,.,一年一付,,2,,,,是,较好
3701010206,a,2.4,2017,4,,3,,1,否,是,1,6,,是,是,10,是,现金,650,,.,其他,一年两付,,,,,否,
3701010207,a,.84,2017,4,,3,,0.5,否,是,1,4,,否,是,10,是,现金,697,,.,其他,半年一付,2,,,,否,以前不认识
3701010208,a,1,2017,4,,3,,0.2,否,是,1,4,,是,是,10,是,现金,586元/人,,.,其他,半年一付,2,,,,否,
3701010208,b,.3,2017,4,,3,,9999,否,是,1,4,,是,是,10,是,现金,586元/人,,.,其他,半年一付,2,,,,否,
3701010209,a,5.4,2017,4,,3,,0.02,是,是,1,4,,是,是,10,是,现金,580,,.,其他,一年两次,,,,,是,一般
3701010210,a,3.5,2017,4,,3,,1,否,是,1,4,,是,是,10,是,现金,700,,.,其他,一年两次,,,,,是,一般
3701010210,b,.6,2017,4,,3,,1,否,是,1,4,,是,是,10,是,现金,700,,.,其他,一年两次,,,,,是,一般
3701010211,a,2.9,2017,4,,3,,0.5,是,是,1,4,,是,是,10,是,现金,700,,.,其他,一年二付,,,,,否,
3701010211,b,.6,2017,4,,3,,0.5,是,是,1,4,,是,是,10,是,现金,700,,.,其他,一年二付,,,,,否,
3701010212,a,1.2,2017,4,,3,,1,否,是,1,4,,是,是,10,是,现金,700,,.,其他,一年两付,1,,,,否,
3701010101,a,6.32,2018,4,,3,,0.5,否,否,1,4,,是,是,10,是,现金,1000,,.,一年一付,,2,,4,必须钱,否,
3701010102,a,1,2018,4,,1,,0.4,否,是,1,4,,是,是,10,是,现金,1000,,.,其他,一年两次,,,,,否,以前不认识
3701010102,b,.5,2018,4,,1,,0.6,否,是,1,4,,是,是,10,是,现金,700,,.,其他,一年两次,,,,,否,以前不认识
3701010103,a,4,2018,4,,3,,1,否,是,1,4,,是,是,10,是,现金,1000,,.,其他,一年两付,,,,,否,一般
3701010103,b,.72,2018,4,,3,,1,否,是,1,4,,是,是,10,是,现金,800,,.,其他,一年两付,,,,,否,一般
3701010104,a,6,2018,4,,1,,1,是,是,1,4,,是,9999.0,9999,是,现金,1000,,.,其他,一年两付,,,,,否,
3701010104,b,3,2018,4,,1,,0.1,是,是,1,4,,是,9999.0,9999,是,现金,700,,.,其他,一年两付,,,,,是,较好
3701010105,a,4,2017,4,,3,,0.5,否,是,1,4,,是,是,10,是,现金,500,,.,其他,半年一付,2,,,,否,以前不认识
3701010106,a,.6,2018,4,,3,,0.1,否,是,1,6,,是,是,10,是,现金,1000,,.,其他,一年两付,,,,,否,
3701010106,b,1,2018,4,,3,,1,否,是,1,6,,是,是,15,是,现金,1000,,.,其他,一年两付,,,,,否,
3701010107,a,6,2019,4,,3,,1,否,是,1,4,,是,是,10,是,现金,1000,,.,一年一付,,2,,,,是,以前不认识
3701010108,a,7,2018,4,,2,,0.5,否,是,1,4,,是,是,10,是,现金,1143,,.,其他,半年一付,,,,,否,以前不认识
3701010109,a,3,2019,4,,3,,0.5,是,是,1,4,,是,是,9999,是,现金,1000,,.,一年一付,,2,,,,否,以前不认识
3701010109,b,1,2019,4,,3,,0.01,是,是,1,4,,是,是,9999,是,现金,800,,.,一年一付,,2,,,,否,以前不认识
3701010110,a,4,2018,4,,3,,2,否,是,1,4,,是,是,10,是,现金,1000,,.,其他,一年两付,,,,,否,
3701010110,b,.6,2018,4,,3,,2,否,是,1,4,,是,是,10,是,现金,1000,,.,其他,一年两付,,,,,否,
3701010111,a,1,2018,4,,3,,0.5,否,是,1,4,,否,是,15,是,现金,1000,,.,其他,一年分2次付,,,,,否,
3701010111,b,.3,2018,4,,3,,0.2,否,是,1,4,,否,是,10,是,现金,700,,.,其他,一年分2次付,,,,,否,
3701010112,a,5.5,2018,4,,3,,3,否,是,1,4,,是,是,20,是,现金,1000,,.,其他,一年两付,2,,,,否,
3704020101,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020102,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020103,a,2.2,9999,4,,2,,0.5,否,是,1,4,,是,是,9999,是,现金,1900,,.,一年一付,,1,,,,是,一般
3704020104,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020105,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020106,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020107,a,1.1,2014,4,,2,,2,否,是,1,4,,是,是,9999,是,现金,1500,,.,一年一付,,2,,,,否,
3704020108,a,.55,2005,4,,2,,9999,否,是,1,4,,是,否,.,是,现金,1200,,.,一年一付,,2,,,,否,以前不认识
3704020109,a,3.3,2019,2,,5,,0.5,否,是,1,1,,否,否,.,是,现金,800,,.,一年一付,,2,,,,是,较好
3704020110,a,1.65,2016,1,,5,,0.2,,是,1,1,,否,否,.,是,现金,500,,.,一年一付,,2,,,,是,较好
3704020111,a,1,2017,1,,5,,0.2,是,是,1,1,,是,否,.,是,现金,500,,.,一年一付,,2,,,,是,较好
3704020112,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020113,a,2.75,2014,4,,9999,,0.5,否,是,1,4,,是,9999.0,9999,是,现金,1800,,.,一年一付,,2,,,,否,以前不认识
3704020201,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020202,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020203,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020204,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020205,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020206,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020207,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020208,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020209,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020210,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020211,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704020212,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704010201,a,3,9999,4,,5,,4,是,是,1,4,,是,否,.,是,现金,1000,,.,一年一付,,2,,,,否,
3704010202,a,1.53,9999,1,,3,,1,否,是,1,1,,否,是,9999,是,现金,200,,.,一年一付,,1,,,,是,较好
3704010202,b,2.2,9999,4,,2,,2,否,是,1,4,,是,是,30,是,现金,1600,,.,一年一付,,2,,,,否,以前不认识
3704010203,a,3.03,2004,4,,6,商铺,1,否,是,1,4,,是,否,.,是,现金,1440,,.,一年一付,,1,,,,是,较好
3704010203,b,2.02,2004,4,,3,,0.3,否,是,1,4,,是,否,.,是,现金,200,,.,一年一付,,2,,,,是,较好
3704010204,a,3.7,2006,4,,2,,2,否,是,1,4,,是,是,10,是,现金,1500,,.,一年一付,,1,,,,是,一般
3704010205,a,3,2016,4,,3,,1,否,是,1,4,,是,否,.,是,现金,1420,,.,一年一付,,2,,,,否,
3704010205,b,2.1,2017,1,,5,,1,否,是,1,1,,否,否,.,是,现金,200,,.,一年一付,,2,,,,是,较好
3704010206,a,2.59,2013,1,,2,,2,否,是,1,6,,是,否,.,是,现金,1200,,.,一年一付,,2,,,,是,较好
3704010206,b,1.53,2008,1,,3,,2,否,是,1,1,,是,否,.,是,现金,200,,.,一年一付,,2,,,,否,
3704010207,a,5.5,2008,4,,5,,1,是,是,1,4,,是,是,30,是,现金,1500,,.,一年一付,,2,,,,是,较好
3704010208,a,2.7,2015,4,,3,,3,否,是,1,4,,是,是,9999,是,现金,9999,,.,一年一付,,2,,,,是,一般
3704010208,b,1.9,2016,1,,5,,3,否,是,1,1,,否,否,.,是,现金,200,,.,一年一付,,2,,,,是,较好
3704010209,a,3.9,9999,1,,2,,0.4,,是,1,4,,是,9999.0,9999,是,现金,1440,,.,一年一付,,2,,,,否,以前不认识
3704010210,a,2.24,2015,4,,5,,0.5,否,是,1,4,,是,是,9999,是,现金,1440,,.,一年一付,,2,,,,否,以前不认识
3704010210,b,1.5,2015,4,,2,,1,否,否,1,4,,是,是,9999,是,现金,1440,,.,一年一付,,2,,,,否,以前不认识
3704010211,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704010212,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704010101,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704010102,a,2.05,2005,1,,5,,2,否,是,1,1,,否,否,.,是,现金,300,,.,一年一付,,2,,,,否,以前不认识
3704010103,a,2,2014,1,,3,,0.2,是,是,1,1,,否,否,.,是,现金,200,,.,一年一付,,2,,,,是,较好
3704010104,a,3.2,2010,1,,3,,1,否,是,1,1,,是,否,.,是,现金,200,,.,一年一付,,2,,,,是,较好
3704010105,a,2.4,2019,1,,5,,1.5,是,是,1,1,,否,否,.,是,现金,200,,.,一年一付,,2,,,,是,较好
3704010106,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704010107,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704010108,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704010109,a,2,2015,1,,5,,0.6,,是,1,1,,否,,.,否,,,,.,,,,,4,无,是,较好
3704010110,a,2.67,2015,2,,5,,1,是,是,1,1,,否,否,.,是,现金,200,,.,一年一付,,2,,,,是,较好
3704010111,a,4.1,2012,1,,5,,1,是,是,1,1,,否,否,.,是,现金,200,,.,一年一付,,2,,,,是,较好
3704010112,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030201,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030202,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030203,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030204,a,2.8,9999,4,,6,政府,3,否,是,1,4,,是,否,.,是,实物,,小麦,1000,一年一付,,2,,,,否,
3704030205,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030206,a,1.9,2015,1,,5,,2.5,否,否,1,1,,否,否,.,否,,,,.,,,,,2,,是,较好
3704030206,b,1.2,2011,1,,6,镇租凭,3,否,否,1,4,,是,是,9999,是,现金,1200,,.,一年一付,,2,,,,否,
3704030207,a,3.5,2014,1,,5,,0.5,否,否,1,1,,否,否,.,否,,,,.,,,,,4,无,是,较好
3704030208,a,.7,2012,4,,6,镇政府,1,否,否,1,4,,否,是,18,是,现金,1000,,.,一年一付,,1,,,,否,以前不认识
3704030209,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030210,a,2,2013,4,,6,镇上,3,否,否,1,4,,是,否,.,是,现金,1200,,.,一年一付,,2,,,,是,一般
3704030210,b,.8,2013,4,,6,镇上,3,否,否,1,4,,是,否,.,是,现金,1200,,.,一年一付,,2,,,,是,一般
3704030211,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030212,a,1,1994,3,,6,儿子,1,否,是,1,1,,否,否,.,是,实物,,麦子,300,其他,不定期,2,,,,是,较好
3704030101,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030102,a,3.2,2014,1,,5,,0.3,否,否,1,1,,否,否,.,是,现金,150,,.,一年一付,,2,,,,是,较好
3704030102,b,1.8,2014,1,,5,,0.3,否,否,1,1,,否,否,.,是,现金,150,,.,一年一付,,2,,,,是,较好
3704030103,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030104,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030105,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030106,a,3,2007,4,,6,修路,5,否,否,1,4,,是,是,30,是,现金,500,,.,一年一付,,2,,,,否,
3704030107,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030108,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030109,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3704030110,a,5,2016,1,,5,,1,否,否,1,1,,否,否,.,是,现金,150,,.,一年一付,,2,,,,是,较好
3704030111,a,16,2017,1,,3,,10,否,是,1,1,,是,是,5,是,现金,200,,.,一年一付,,1,,,,是,一般
3704030112,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3702030201,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3702030202,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3702030203,a,2,2014,1,,3,,3,否,是,1,1,,否,否,.,是,现金,600,,.,一年一付,,2,,,,是,较好
3702030204,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3702030205,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3702030206,a,5,2017,3,,5,,0.6,否,是,1,1,,是,是,30,是,现金,1000,,.,一年一付,,2,,,,是,较好
3702030206,b,2.5,2015,3,,3,,3,否,是,1,1,,是,是,30,是,现金,1000,,.,一年一付,,2,,,,是,较好
3702030207,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3702030208,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3702030209,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3702030210,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3702030211,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3702030212,a,2.4,9999,1,,5,,1,否,是,1,1,,否,否,.,否,,,,.,,,,,1,,是,较好
3705030201,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
