varID,var17_1,var17_2,var17_2a,var17_3,var17_3a,var17_4,var17_4a,var17_4_1,var17_4_1a,var17_4_2,var17_4_2a,var17_5,var17_6,var17_6a,var17_7,var17_7a,var17_7_1,var17_7_1a,var17_8,var17_9,var17_9a,var17_10,var17_10a,var17_10_1,var17_10_1a,var17_11,var17_12,var17_13,var17_13a,var17_13b,var17_14,var17_14a,var17_14b,var17_15,var17_16,var17_17,var17_18,var17_19,var17_20,var17_21_1a,var17_21_1,var17_21_2,var17_22,var17_23,var17_24,var17_25,var17_26,var17_27,var17_28,var17_29,var17_30,var17_31,var17_32_1,var17_32_2,var17_33,var17_33a,var17_34,var17_34a,var17_35,var17_35a,var17_36,var17_36a,var17_37,var17_37a,var17_38,var17_38a
3703020111,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,80000,1980,1980,0,0,0,,0,300,300,0,0,0,0,0,0,0,0,0,82280,有所减少,差不多,,有所减少,,差不多,,差不多,,比较高,,比较满意,
3703020112,900,a1,400,a22,500,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,,3,,100000,.,,0,30000,1760,1760,0,0,0,,0,_1937.5,62.5,0,0,0,0,0,0,0,0,_2000,13722.5,有所减少,有所减少,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703020201,2600,a1,1500,a21,800,a13,300,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,110000,11,,10000,10,,100000,0,0,0,0,0,0,,0,_625,375,0,0,0,0,0,0,0,0,_1000,112375,差不多,差不多,,差不多,,差不多,,,,中等水平,,比较满意,
3703020202,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,100000,14,本乡镇,100000,.,,0,0,0,0,0,0,0,,0,120,120,0,0,0,0,0,0,0,0,0,100120,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703020203,1869,a1,1245,a21,624,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,5000,125950,5950,0,0,0,服务型银行,120000,4001,125,0,0,0,0,3876,0,0,0,0,136820,减少较多,减少较多,,差不多,,有所增加,,有所减少,,比较高,,非常满意,
3703020204,10000,a1,6000,a21,1000,b2、a15,3000,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,4500,9,,4500,.,,0,0,_2260,_2260,0,0,0,,0,470,470,0,0,0,0,0,0,0,0,0,12710,有所减少,减少较多,,差不多,,有所增加,,差不多,,中等水平,,一般,
3703020205,0,a1,0,a21,0,b2,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,2000,2000,0,0,0,,0,24300,300,0,0,0,0,0,0,0,6000,18000,26300,有所减少,有所减少,,差不多,,差不多,,差不多,,非常低,,一般,
3703020206,728,a1,463,a21,265,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,12000,15,p13超市,12000,.,,0,0,2720,1960,0,0,0,利息,760,_1000,0,0,0,0,0,0,0,0,_1000,0,14448,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703020207,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,70000,12,,70000,.,,0,0,3600,3600,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,73600,有所减少,差不多,,有所减少,,差不多,,差不多,,中等水平,,非常满意,
3703020208,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,99000,0,0,0,0,0,,0,2000,0,0,0,0,0,0,0,0,2000,0,101000,有所增加,差不多,,有所增加,,差不多,,差不多,,中等水平,,一般,
3703020209,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,70000,2400,2400,0,0,0,,0,250,250,0,0,0,0,0,0,0,0,0,72650,减少较多,,,减少较多,,差不多,,,,比较高,,非常满意,
3703020210,7000,a1,4000,a21,1000,b2,2000,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,30000,0,_1640,0,0,0,,0,0,9999,0,0,0,0,0,0,0,0,0,35360,有所减少,有所减少,,,,差不多,,差不多,,中等水平,,非常满意,
3703020211,532,a1,532,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,60000,1800,1800,0,0,0,,0,6125,125,0,0,0,0,0,0,0,7000,_1000,68457,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703020212,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,60000,3000,3000,0,0,0,,0,_625,375,0,0,0,0,0,0,0,_1000,0,62375,有所减少,差不多,,有所减少,,差不多,,差不多,,中等水平,,一般,
3703030101,_1735.8,b2,480,a1,_207,a21,_2008.8,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,550,750,0,0,0,0,0,0,0,0,_200,_1198.3,差不多,差不多,,差不多,,差不多,,差不多,,比较低,,非常不满意,
3703030102,4500,a1,750,a21,750,b2,3000,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,70000,0,0,0,0,0,,0,205.5,205.5,0,0,0,0,0,0,0,0,0,74705.5,有所减少,差不多,,差不多,,有所增加,,差不多,,中等水平,,比较满意,
3703030103,1202.8,a1,300.8,a21,102,b2,800,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,3070,200,0,0,0,0,2880,0,0,0,_100,4272.8,减少较多,减少较多,,差不多,,差不多,,减少较多,,非常低,,比较不满意,
3703030104,592.5,a1,_607.5,a21,300,b2,800,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,12000,0,0,0,0,0,,0,187.5,187.5,0,0,0,0,0,0,0,0,0,12780,有所减少,有所减少,,差不多,,差不多,,差不多,,中等水平,,一般,
3703030105,745,a21,745,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,1500,9,,1500,.,,0,0,0,0,0,0,0,,0,13327.5,187.5,0,0,0,0,1440,0,0,11700,0,15572.5,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,非常满意,
3703030106,3200,a1、自己吃,0,a21、自己吃,0,b2,3200,,.,,.,3000,d6,3000,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,1916,500,0,0,0,0,1416,0,0,0,0,8116,差不多,差不多,,差不多,,有所增加,,差不多,,中等水平,,比较满意,
3703030107,3000,a1,0,b2,3000,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,6815,375,0,0,0,0,1440,0,0,5000,0,9815,有所减少,有所减少,,差不多,,差不多,,差不多,,中等水平,,一般,
3703030108,6000,a1,1500,a21,1500,b2,3000,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,10000,0,0,0,0,0,,0,375,375,0,0,0,0,0,0,0,0,0,16375,差不多,差不多,,有所减少,,差不多,,差不多,,中等水平,,非常满意,
3703030109,900,a1,200,a21,300,b2,400,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,6615,175,0,0,0,0,1440,0,0,0,5000,7515,有所减少,有所减少,,差不多,,差不多,,差不多,,比较低,,比较满意,
3703030110,3620,a1,300,a21,320,b2,3000,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,1627.5,187.5,0,0,0,0,1440,0,0,0,0,5247.5,差不多,差不多,,差不多,,差不多,,差不多,,非常低,,非常满意,
3703030111,6200,a1,1000,b2,5200,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,5000,0,0,0,0,0,,0,3660,780,0,0,0,0,2880,0,0,0,0,14860,有所增加,差不多,,,,差不多,,差不多,,比较低,,一般,
3703030112,142,a1,1272,a21,_1130,,0,,.,,.,6000,d1,6000,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,875,375,0,0,0,0,1500,0,0,_1000,0,7017,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703030201,2000,a1,2000,,0,,0,,.,,.,10,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,16000,_200,_200,0,0,0,,0,625,625,0,0,0,0,0,0,0,0,0,18425,差不多,差不多,,有所减少,,差不多,,差不多,,比较低,,非常不满意,
3703030202,2015,a21,2015,,0,,0,,.,,.,_15000,d7,_15000,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,_2000,0,0,0,,0,625,625,0,0,0,0,0,0,0,0,0,_14360,有所减少,减少较多,,差不多,,9999.0,,差不多,,中等水平,,一般,
3703030203,3071,b2,3000,a1,_2020,a21,_909,,.,,.,2000,d5,2000,,0,,.,0,,0,,0,,.,0,2000,1,,2000,.,,0,0,0,0,0,0,0,,0,3500,500,0,0,0,0,3000,0,0,0,0,10571,差不多,差不多,,有所增加,,差不多,,差不多,,中等水平,,一般,
3703030204,2675,a1,1469,a21,1206,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,5290,250,0,0,0,0,1440,0,0,3600,0,7965,差不多,有所减少,,差不多,,有所增加,,差不多,,中等水平,,比较满意,
3703030205,52002.5,a1,18122.5,a21,3790,b2,30000,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,_9500,_10000,500,0,0,,0,6875,6875,0,0,0,0,0,0,0,0,0,49377.5,有所减少,有所减少,,有所减少,,差不多,,差不多,,比较高,,比较满意,
3703030206,2000,a1,2000,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,10000,0,0,0,0,0,,0,3225,625,0,0,0,0,2600,0,0,0,0,15225,有所减少,差不多,,有所减少,,差不多,,差不多,,比较低,,比较满意,
3703030207,3000,a1,1000,b2,2000,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,5804,0,0,0,0,3564,1440,0,800,0,0,8804,差不多,差不多,,差不多,,增加较多,,差不多,,中等水平,,比较满意,
3703030208,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,50000,750,750,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,50750,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,非常满意,
3703030209,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,14680,0,0,0,0,8400,2880,0,3400,0,0,14680,差不多,差不多,,差不多,,差不多,,差不多,,非常低,,非常满意,
3703030210,3500,a1,1500,b2,2000,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,48000,0,0,0,0,0,,0,11615,375,0,0,0,0,3240,0,9999,8000,0,63115,差不多,差不多,,差不多,,有所减少,,差不多,,中等水平,,一般,
3703030211,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,77520,2400,2400,0,0,0,,0,1744.5,184.5,0,0,0,0,1560,0,0,0,0,81664.5,差不多,差不多,,差不多,,差不多,,差不多,,比较高,,非常满意,
3703030212,2500,a1,500,b2,2000,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,1500,1500,0,0,0,,0,7275,275,0,0,0,0,3000,0,0,5000,_1000,11275,差不多,差不多,,,,差不多,,差不多,,中等水平,,一般,
3703010101,1245,a1,588,a21,657,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,120000,12,,120000,.,,0,0,15900,900,0,0,15000,,0,_2799,1507,0,0,0,0,0,0,51,_3000,0,134346,有所减少,差不多,,差不多,,差不多,,有所增加,,中等水平,,比较满意,
3703010102,2000,a1,1000,a21,1000,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,9000,13,,9000,.,,0,0,0,0,0,0,0,,0,3370,250,0,0,0,0,3120,0,0,0,0,14370,有所增加,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703010103,1400,a1,600,a21,800,b2,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,20000,15,柳偏,20000,.,,0,0,0,0,0,0,0,,0,400,400,0,0,0,0,0,0,0,0,0,21800,有所减少,有所减少,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703010104,3573.5,a1,2022.5,a21,1551,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,325,325,0,0,0,0,0,0,0,0,0,3898.5,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703010105,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,3600,5,,3600,.,,0,0,9999,9999,0,0,0,,0,1640,0,0,0,0,600,1440,0,0,0,_400,5240,差不多,差不多,,差不多,,差不多,,差不多,,非常低,,非常不满意,
3703010106,3000,a1,1500,a21,1500,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,1500,1500,0,0,0,,0,1560,375,0,0,0,0,1200,0,0,0,0,6075,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703010107,2400,a1,1200,a21,1200,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,4500,0,0,0,0,0,,0,3520,230,0,0,0,0,3300,0,0,0,0,10420,有所减少,有所减少,,有所减少,,差不多,,差不多,,中等水平,,非常满意,
3703010108,0,,0,,0,,0,,.,,.,100000,d6,100000,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,0,9999,0,0,0,0,0,0,0,0,20000,120000,增加较多,增加较多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703010109,2705.25,a1,1383.75,a21,1321.5,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,16950,1200,1200,0,0,0,,0,_49622,375,0,0,0,0,0,0,0,0,0,21236.25,有所增加,有所减少,,差不多,,差不多,,有所增加,,比较低,,一般,
3703010110,1300,a1,650,a21,650,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,169,169,0,0,0,0,0,0,0,0,0,1469,差不多,差不多,,,,差不多,,,,非常低,,一般,
3703010111,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,,15,编筐子,15000,.,,0,235000,0,0,0,0,0,,0,325,325,0,0,0,0,0,0,0,0,0,250325,差不多,差不多,,有所增加,,差不多,,差不多,,非常高,,非常满意,
3703010112,2200,a1,1300,a22,900,,0,,.,,.,0,,0,,0,,.,0,白梅海棠,0,,0,,.,0,0,,,0,.,,0,130000,0,0,0,0,0,,0,_9687.5,312.5,0,0,0,0,0,0,0,0,_10000,122512.5,差不多,增加较多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703010201,1200,a1,500,a22,700,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,20000,0,0,0,0,0,,0,1855,175,0,0,0,0,1680,0,0,5000,_3000,23055,有所减少,有所减少,,差不多,,差不多,,差不多,,中等水平,,一般,
3703010202,1199,a1,409,a21,790,,0,,.,,.,0,,0,,0,,.,1200,板栗,1200,,0,,.,0,0,,,0,.,,0,75000,0,0,0,0,0,,0,_750,250,0,0,0,0,0,0,0,0,_1000,76649,有所减少,有所减少,,有所减少,,9999.0,,差不多,,中等水平,,比较满意,
3703010203,1000,a21,1000,a1,0,,0,,.,,.,0,,0,,0,,.,1500,c35、板栗,1500,,0,,.,0,12000,1,,12000,.,,0,0,1500,0,1500,0,0,,0,1250,250,0,0,0,0,0,0,0,1000,0,17250,差不多,有所增加,,差不多,,差不多,,差不多,,比较低,,比较满意,
3703010204,400,a1,200,a21,200,b2,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,70000,10,,70000,.,,0,60000,0,0,0,0,0,,0,180,180,0,0,0,0,0,0,0,0,0,13580,有所减少,有所减少,,差不多,,差不多,,差不多,,中等水平,,非常满意,
3703010205,9220,a1,0,a21,220,b18、板栗苗,9000,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,52800,_2000,_2000,0,0,0,,0,_15784,216,0,0,0,0,0,0,0,_16000,0,44236,有所减少,有所减少,,有所减少,,差不多,,差不多,,比较高,,比较满意,
3703010206,11806,a1,4395,a21,2611,b2,4800,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,_520,_900,0,0,0,利息,380,1945,625,0,0,0,0,3120,0,0,_1800,0,13231,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703010207,3645,a1,1350,a21,1080,b2,1215,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,80000,_240,_240,0,0,0,,0,337.5,337.5,0,0,0,0,0,0,0,0,0,83742.5,有所增加,差不多,,差不多,,差不多,,差不多,,中等水平,,非常满意,
3703010208,2800,a1,1200,a21,1200,b2,400,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,1791,375,0,0,0,0,1416,0,0,0,0,4591,减少较多,减少较多,,有所减少,,差不多,,差不多,,比较低,,一般,
3703010209,2000,a1,1000,a21,1000,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,6710,250,0,0,0,0,1460,0,0,5000,0,8710,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703010210,1550,a1,300,a21,800,,0,,.,,.,0,,0,,0,,.,350,栗子,350,,0,,.,0,0,,,0,.,,0,3000,_240,_240,0,0,0,,0,3357.5,117.5,0,0,0,0,3240,0,0,0,0,7550,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3703010211,595,b2,595,,0,,0,,.,,.,0,,0,,0,,.,1700,板栗,1700,,0,,.,0,50000,10,超市,50000,.,,0,0,0,0,0,0,0,,0,_1812.5,187.5,0,0,0,0,0,0,0,0,_2000,50482.5,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,一般,
3703010212,2604,a1,1294,a21,1310,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,30000,0,0,0,0,0,,0,250,250,0,0,0,0,0,0,0,0,0,32854,有所减少,有所减少,,有所减少,,差不多,,差不多,,中等水平,,一般,
3701030201,10500,a1,5000,a2,5500,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,1000,0,0,0,0,0,,0,400,1400,0,0,0,0,0,0,0,0,_1000,11900,差不多,差不多,,有所减少,,有所增加,,减少较多,,中等水平,,一般,
3701030202,1500,a21,750,a1,750,,0,,.,,.,100000,d6,100000,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,12000,0,0,0,0,0,,0,900,900,0,0,0,0,0,0,0,0,0,114400,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,非常满意,
3701030203,11535,a1,13970,a21,7565,,0,,.,,.,1200,d5,1200,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,3000,0,0,0,0,0,,0,3950,750,0,0,0,0,0,0,3200,0,0,19685,有所增加,减少较多,,有所增加,,差不多,,差不多,,比较低,,比较不满意,
3701030204,152959,a1,63581,a21,69378,c15,20000,,.,,.,,,,,,,.,,,,,,,.,,,,,,.,,,80000,_31000,_31000,.,.,,,.,20675,675,.,,.,.,.,,.,20000,,222634,有所增加,有所增加,,有所增加,,差不多,,差不多,,中等水平,,非常满意,
3701030205,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,74400,9999,9999,0,0,0,,0,_7440,1000,0,0,0,0,1560,0,0,_10000,0,66960,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,非常满意,
3701030206,9000,a1,4500,a2,4500,,,,.,,.,,,,,,,.,,,,,,,.,,,,,,.,,,81000,,,.,.,,,.,1125,1125,.,,.,.,.,,.,,,91125,差不多,差不多,,减少较多,,差不多,,,,中等水平,,比较满意,
3701030207,12908.6,,6336,,6573.6,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,36000,0,0,0,0,0,,0,6780,900,0,0,0,0,2880,0,0,3000,0,55688.6,有所减少,减少较多,,减少较多,,差不多,,差不多,,中等水平,,一般,
3701030208,8000,a1,4000,a21,4000,,,,.,,.,,,,,,,.,,,,,,,.,,,9,,,.,,,44000,,,.,.,,,.,1100,1100,.,,.,.,.,,.,,,53100,减少较多,差不多,,减少较多,,差不多,,差不多,,中等水平,,非常不满意,
3701030209,13284.1,a1,7908.9,a21,5375.2,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,42000,0,0,0,0,0,,0,756,756,0,0,0,0,0,0,0,0,0,56040.1,差不多,差不多,,有所减少,,差不多,,差不多,,中等水平,,一般,
3701030210,7200,a1,3600,a21,3600,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,1080,1080,0,0,0,0,0,0,0,0,0,8280,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较不满意,
3701030211,7441,a1,4213,a21,3228,,,,.,,.,0,,,,,,.,0,,,,,,.,0,0,,,,.,,,400,0,0,0,0,0,,0,2940,540,0,0,0,0,2400,0,0,0,0,10781,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3701030212,12212,a1,6812,a21,5400,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,58000,0,0,0,0,0,,0,1250,1250,0,0,0,0,0,0,0,0,0,71462,差不多,有所减少,,有所增加,,差不多,,有所增加,,中等水平,,一般,
3701030101,4686,a1,2460,a21,2226,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,26000,0,0,0,0,0,,0,4380,750,0,0,0,0,3480,0,150,4000,_4000,32606,有所减少,差不多,,差不多,,差不多,,差不多,,比较高,,比较满意,
3701030102,2000,a1,1000,a21,1000,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,7200,13,,7200,.,,0,0,0,0,0,0,0,,0,3360,720,0,0,0,0,2640,0,0,0,0,12560,有所减少,有所减少,,差不多,,差不多,,差不多,,中等水平,,非常满意,
3701030103,13300,a1,7400,a21,5900,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,6000,_600,_600,0,0,0,,0,750,750,0,0,0,0,0,0,0,0,0,19481,差不多,差不多,,差不多,,有所增加,,差不多,,比较低,,非常满意,
3701030104,2300,a1,1340,a21,960,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,6000,6000,0,0,0,,0,1690,250,0,0,0,0,1440,0,0,0,0,9990,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,比较满意,
3701030105,4800,a1,2400,a21,2400,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,0,0,0,0,0,,0,6480,600,0,0,0,4560,1320,0,0,0,0,11280,差不多,差不多,,差不多,,差不多,,差不多,,比较低,,一般,
3701030106,6700,a1,3400,a21,3300,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,50000,12,,50000,.,,0,0,0,0,0,0,0,,0,4380,1500,0,0,0,0,2880,0,0,0,0,61080,差不多,差不多,,,,差不多,,差不多,,比较高,,非常满意,
3701030107,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,6600,6000,0,0,600,,0,33140,750,0,0,0,0,390,0,30000,2000,0,39740,差不多,差不多,,有所减少,,差不多,,差不多,,比较高,,一般,
